tm_player_id,gsis_player_id,elias_player_id,nfl_player_id,tm_full_name,tm_position,elias_team_id,tm_team_abbrev,tm_season_year,tm_height,tm_weight,tm_dob,tm_age_sep1,tm_college,tm_college_conf,tm_experience,tm_jersey_number,tm_draft_round,tm_draft_num_in_round,tm_draft_number_overall,tm_draft_team,tm_draft_year,tm_40_time,tm_bench_reps,tm_broad_jump,tm_20_shuttle,tm_3_cone,tm_arm_length,tm_hand_span,tm_vert_jump,tm_wing_span,tm_athlete_score,tm_combine_score,tm_size_score,tm_production_score,tm_proday_dash40,tm_proday_3cone,tm_proday_bench,tm_proday_long_jump,tm_proday_ss20,tm_proday_vert
38383,00-0038383,VOR148318,,Andrew Vorhees,G,325,BAL,2025,78,320,1999-01-21,26.611,USC,Pacific Twelve Conference,3,72,7,Undrafted,229.0,BAL,2023,,38.0,105.0,,,32.125,10.0,29.0,77.75,66.3,74.9,,75.0,,,,,,
38387,00-0038387,WOO268652,,Colby Wooden,DE,1800,GB,2025,76,273,2000-12-21,24.693,Auburn,Southeastern Conference,3,96,4,Undrafted,116.0,GB,2023,4.79,23.0,115.0,4.52,,33.75,10.375,,80.375,70.8,73.5,,80.9,,,,,,
38408,00-0038408,VAL326982,,Carrington Valentine,DB,1800,GB,2025,72,189,2001-09-09,23.978,Kentucky,Southeastern Conference,3,24,7,Undrafted,232.0,GB,2023,,9.0,128.0,,,32.25,9.25,39.0,76.0,71.9,63.5,,54.8,,,,,,
38504,00-0038504,SIM632785,,Trenton Simpson,LB,325,BAL,2025,74,235,2001-06-14,24.216,Clemson,Atlantic Coast Conference,3,32,3,Undrafted,86.0,BAL,2023,4.43,25.0,,,,32.375,10.25,,77.5,88.3,81.9,,76.1,,,,,,
38543,00-0038543,SMI829636,,Jaxon Smith-Njigba,WR,4600,SEA,2025,72,197,2002-02-14,23.545,Ohio State,Big Ten Conference,3,11,1,Undrafted,20.0,SEA,2023,,,125.0,3.93,6.57,30.5,9.0,35.0,75.5,88.7,83.6,,67.8,,,,,,
38546,00-0038546,MUR519902,,Myles Murphy,DE,920,CIN,2025,77,275,2002-01-03,23.66,Clemson,Atlantic Coast Conference,3,99,1,Undrafted,28.0,CIN,2023,,25.0,,,,33.75,8.5,,81.125,79.4,79.8,,72.1,,,,,,
38547,00-0038547,SCH471986,,Luke Schoonmaker,TE,1200,DAL,2025,77,250,1998-09-28,26.926,Michigan,Big Ten Conference,3,86,2,Undrafted,58.0,DAL,2023,4.63,,127.0,4.27,,32.875,9.0,33.5,78.125,84.2,75.5,,62.0,,,,,,
38548,00-0038548,TOR694111,,O'Cyrus Torrence,G,610,BUF,2025,77,347,2000-01-20,25.613,Florida,Southeastern Conference,3,64,2,Undrafted,59.0,BUF,2023,5.31,23.0,101.0,4.81,,33.875,11.25,23.5,83.875,66.6,80.6,,82.3,,,,,,
38549,00-0038549,TUR283151,,DJ Turner II,CB,920,CIN,2025,71,185,2000-11-09,24.808,Michigan,Big Ten Conference,3,20,2,Undrafted,60.0,CIN,2023,4.26,,131.0,,,30.75,9.625,38.5,73.375,97.0,86.2,,74.4,,,,,,
38552,00-0038552,MOS709340,,Riley Moss,CB,1400,DEN,2025,72,193,2000-03-03,25.496,Iowa,Big Ten Conference,3,21,3,Undrafted,83.0,DEN,2023,4.45,,127.0,,,30.0,9.5,39.0,74.125,82.5,76.3,,70.4,,,,,,
38554,00-0038554,BRO492777,,Ji'Ayir Brown,SAF,4500,SF,2025,71,202,2000-01-25,25.6,Penn State,Big Ten Conference,3,27,3,Undrafted,87.0,SF,2023,4.65,18.0,119.0,,,31.25,10.125,32.5,75.75,56.3,78.5,70.7,89.1,,,,,,
38565,00-0038565,BLA289825,,Mekhi Blackmon,DB,2200,IND,2025,71,178,1999-03-18,26.457,USC,Pacific Twelve Conference,3,29,3,Undrafted,102.0,MIN,2023,4.47,11.0,125.0,,,31.0,9.25,36.0,74.625,72.5,72.0,,67.9,,,,,,
38570,00-0038570,MIL588972,,Ventrell Miller,LB,2250,JAX,2025,72,232,1999-01-15,26.627,Florida,Southeastern Conference,3,51,4,Undrafted,121.0,JAX,2023,,,,,,32.5,9.125,,78.875,60.7,62.6,,66.4,,,,,,
38591,00-0038591,MOR480831,,Mike Morris,DE,4600,SEA,2025,78,295,2001-04-22,24.361,Michigan,Big Ten Conference,3,94,5,Undrafted,151.0,SEA,2023,4.95,22.0,110.0,,,33.5,10.0,28.5,81.875,58.3,76.1,,75.5,,,,,,
38594,00-0038594,LUT138430,,Darrell Luter Jr.,CB,4500,SF,2025,72,190,2000-04-24,25.353,South Alabama,Sun Belt Conference,3,28,5,Undrafted,155.0,SF,2023,4.46,,123.0,4.43,6.9,32.375,10.375,40.5,77.875,63.9,57.8,,54.6,,,,,,
38596,00-0038596,JOH061167,,Antonio Johnson,DB,2250,JAX,2025,74,198,2001-10-29,23.841,Texas A&M,Southeastern Conference,3,26,5,Undrafted,160.0,JAX,2023,4.52,8.0,118.0,,,32.125,9.75,31.0,77.875,59.0,78.8,79.1,79.8,,,,,,
38597,00-0038597,BRO340581,,Chase Brown,RB,920,CIN,2025,70,211,2000-03-21,25.446,Illinois,Big Ten Conference,3,30,5,Undrafted,163.0,CIN,2023,4.43,25.0,127.0,,,31.0,10.0,40.0,75.125,84.4,76.2,70.3,68.0,,,,,,
