Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,22942,00-0022942,NFL,RIV651634,https://static.www.nfl.com/image/private/{formatInstructions}/league/voakyrtj34sghkwxaxxf,Philip Rivers,Philip Rivers,QB,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,N.C. State,-,-,,,,,5.08,-,-,-,,,77,228,9.250,,32.125,78.3,54.4,91.5,78.1,247,
1,27609,00-0027609,NFL,WEB210365,https://static.www.nfl.com/image/private/{formatInstructions}/league/grxtu7vkii9lo41up04q,J'Marcus Webb,J'Marcus Webb,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,West Texas State,-,-,,,,,-,-,-,-,,,79,320,-,,-,-,-,-,-,96,
1,27674,00-0027674,NFL,VEL116302,https://static.www.nfl.com/image/private/{formatInstructions}/league/q7ees8sofhe8gg3isgjt,Jared Veldheer,Jared Veldheer,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Hillsdale,-,-,,,,,5.06,1.73,7.40,33.5,109,32,80,321,10.000,,33.000,78.0,87.7,69.6,80.8,121,
1,27691,00-0027691,NFL,ROB102317,https://static.www.nfl.com/image/private/{formatInstructions}/league/hjoyjewh7knoafxt4k93,Andre Roberts,Andre Roberts,WR,Carolina Panthers,CAR,750,750,,,,NOR,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,The Citadel,-,-,,,,,4.40,1.59,6.77,36.0,120,15,71,195,9.500,,31.500,72.3,71.3,66.4,72.9,182,
1,27881,00-0027881,NFL,HUG532081,https://static.www.nfl.com/image/upload/{formatInstructions}/league/holacsltnj1mvxkeqgp0,Jerry Hughes,Jerry Hughes,DE,Houston Texans,HOU,2120,2120,,,,NOR,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,TCU,-,-,,,,,4.65,1.67,6.99,34.5,118,26,74,254,9.750,,33.000,84.0,82.4,84.0,63.3,225,
1,27960,00-0027960,NFL,CAS792239,https://static.www.nfl.com/image/private/{formatInstructions}/league/rpvpwfga4faox3xntek1,Anthony Castonzo,Anthony Castonzo,T,Indianapolis Colts,IND,2200,2200,,,,NOR,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,Boston College,-,-,,,,,5.21,1.82,7.25,29.5,105,28,79,307,10.625,81.25,34.500,86.7,80.8,86.0,85.9,144,
1,28008,00-0028008,NFL,HOU476949,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uvob2wz6eezshbjclcya,Justin Houston,Justin Houston,OLB,Carolina Panthers,CAR,750,750,,,,NOR,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#0085CF,NFC,Georgia,-,-,,,,,4.62,1.66,6.95,36.5,125,30,75,270,10.875,81.625,34.500,77.7,81.1,77.6,76.9,170,
1,28063,00-0028063,NFL,JON731670,https://static.www.nfl.com/image/private/{formatInstructions}/league/va09vgfr7bdc2wb6ikq4,Taiwan Jones,Taiwan Jones,RB,New York Giants,NYG,3410,3410,,,,NOR,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,Eastern Washington,4.33,1.58,6.9,39.5,132,,4.33,-,-,-,,13,72,195,8.750,71.75,29.500,75.4,85.3,63.5,70.2,139,
1,28097,00-0028097,NFL,SMI480240,https://static.www.nfl.com/image/private/{formatInstructions}/league/gcaqwhzrinlqicrljwlr,Lee Smith,Lee Smith,TE,Atlanta Falcons,ATL,200,200,,,,NOR,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,Marshall,-,-,,,,,4.94,1.76,7.13,29.0,108,25,78,265,9.750,79.75,34.375,63.6,60.8,61.3,86.7,149,
1,28339,00-0028339,NFL,ADD494264,https://static.www.nfl.com/image/private/{formatInstructions}/league/bapzewurohnyaqq1p3ud,Mario Addison,Mario Addison,DE,Houston Texans,HOU,2120,2120,,,,NOR,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,Troy,-,-,,,,,-,-,-,-,,,75,260,-,,-,-,-,-,-,170,
