Rank,playerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,100064470,NCAA,100064470,,Will Whitson,Will Whitson,DL,Mississippi State Bulldogs,MST,100000227,MSST,,,,,,true,,,,#660000,SEC,Mississippi State,-,-,,,,,-,-,-,-,,,77,295,-,,-,-,-,-,-,2,
1,100043872,NCAA,100043872,,Mason White,Mason White,DB,Oregon State Beavers,ORST,100000265,ORST,,,,,,true,,,,#D73F09,Pac-12,Oregon State,-,-,,,,,-,-,-,-,,,72,194,-,,-,-,-,-,-,12,
1,100123902,NCAA,100123902,,Chase Allen,Chase Allen,K,Rice Owls,RICE,100000275,TXRI,,,,,,true,,,,#00205B,The American,Rice,-,-,,,,,-,-,-,-,,,73,216,-,,-,-,-,-,-,7,
1,100123910,NCAA,100123910,,Jamil Burroughs,Jamil Burroughs,DL,Mississippi State Bulldogs,MST,100000227,MSST,,,,,,true,,,,#660000,SEC,Mississippi State,-,-,,,,,-,-,-,-,,,75,330,-,,-,-,-,-,-,11,
1,100123915,NCAA,100123915,,Damieon George Jr.,Damieon George Jr.,OL,Florida Gators,UF,100000163,FLUN,,,,,,true,,,,#FA4616,SEC,Florida,-,-,,,,,-,-,-,-,,,78,365,-,,-,-,-,-,-,12,
1,100123919,NCAA,100123919,,Sam Johnson,Sam Johnson,P,USC Trojans,USC,100000326,CASC,,,,,,true,,,,#991B1E,Big Ten,USC,-,-,,,,,-,-,-,-,,,75,225,-,,-,-,-,-,-,13,
1,100123924,NCAA,100123924,,Jah-Marien Latham,Jah-Marien Latham,LB,Alabama Crimson Tide,BAMA,100000103,ALUN,,,,,,true,,,,#A80532,SEC,Alabama,-,-,,,,,-,-,-,-,,,75,262,-,,-,-,-,-,-,1,
1,100123931,NCAA,100123931,,Jahquez Robinson,Jahquez Robinson,DB,Auburn Tigers,AUB,100000115,ALAU,,,,,,true,,,,#03244D,SEC,Auburn,-,-,,,,,-,-,-,-,,,74,205,-,,-,-,-,-,-,12,
1,100123939,NCAA,100123939,,Roydell Williams,Roydell Williams,RB,Florida State Seminoles,FSU,100000167,FLST,,,,,,true,,,,#900028,ACC,Florida State,-,-,,,,,-,-,-,-,,,70,223,-,,-,-,-,-,-,7,
1,100129747,NCAA,100129747,,Patrick Gurd,Patrick Gurd,TE,Cincinnati Bearcats,CIN,100000138,OHCI,,,,,,true,,,,#E00122,Big 12,Cincinnati,-,-,,,,,-,-,-,-,,,76,250,-,,-,-,-,-,-,13,
