pfr_player_name,pos_group,team,gsis_id,season,pick,tier,is_hit,avg_snap_pct,snap_ratio,rookie_apy_cap_pct,fa_median_apy_cap_pct,rookie_surplus,second_apy_cap_pct,player_return,player_sharpe,sharpe_linear,sharpe_elite
Dak Prescott,QB,DAL,00-0033077,2016,135,Rounds 4-7,TRUE,0.9679411764705881,1.5561755248723281,0.004,0.146,0.8839076981274823,0.21899999999999997,1.1029076981274821,5.423324924854498,-3.4396236727931813,-0.7312011414982981
Richard Sherman,CB,SEA,00-0028092,2011,154,Rounds 4-7,TRUE,1.075294117647059,1.5538932335940159,0.005,0.08199999999999999,0.4785991159469568,0.105,0.5835991159469568,4.540639794724053,-4.672744495348817,-0.6021907924538343
Devin McCourty,S,NWE,00-0027647,2010,27,Late 1st,TRUE,0.9541176470588235,1.336299225572582,0.016,0.053,0.19777228538474215,0.066,0.2637722853847422,4.414206139099982,-0.34508889186477487,-1.1099795447264003
Greg Hardy,EDGE,CAR,00-0027774,2010,175,Rounds 4-7,TRUE,0.866470588235294,1.4227760069545057,0.004,0.091,0.49512605042016794,0.099,0.594126050420168,4.143106314497427,-3.8204197934098256,-0.6044285050354133
Creed Humphrey,IOL,KAN,00-0036623,2021,63,Round 2,TRUE,1.098888888888889,1.4710694630373347,0.008,0.051,0.25302394764242153,0.07,0.32302394764242154,4.039329740448041,-0.22501695252083553,-0.7573076508456783
Maxx Crosby,EDGE,LV,00-0034973,2019,106,Rounds 4-7,TRUE,0.794142857142857,1.304011259676284,0.004,0.091,0.45379591836734684,0.127,0.5807959183673468,4.033336299140427,-3.8204197934098256,-0.6044285050354133
Earl Thomas,S,SEA,00-0027866,2010,14,Late 1st,TRUE,1.0870588235294119,1.522491349480969,0.025,0.053,0.17051903114186853,0.075,0.24551903114186852,4.031928047887149,-0.34508889186477487,-1.1099795447264003
Trey Smith,IOL,KAN,00-0036660,2021,226,Rounds 4-7,TRUE,1.0806944444444444,1.4467127770340622,0.005,0.051,0.26619515097426744,0.084,0.35019515097426746,4.0040535653212075,-2.4541091296547317,-0.6606857915206148
Amon-Ra St. Brown,WR,DET,00-0036963,2021,112,Rounds 4-7,TRUE,0.8094444444444445,1.2647569444444446,0.006,0.079,0.3693090277777778,0.11699999999999999,0.4863090277777778,3.9789464777798216,-3.823139033302942,-0.6228278656929864
Brock Purdy,QB,SFO,00-0037834,2022,262,Rounds 4-7,TRUE,0.7184722222222222,1.1551000357270453,0.004,0.146,0.6560968202929617,0.19,0.8460968202929617,3.967835709479653,-3.4396236727931813,-0.7312011414982981
T.J. Watt,EDGE,PIT,00-0033886,2017,30,Late 1st,TRUE,0.809264705882353,1.3288418815802183,0.013999999999999999,0.091,0.4092832995267072,0.153,0.5622832995267072,3.9499685704081693,-0.8808858659652598,0.5944072297042816
Minkah Fitzpatrick,S,MIA,00-0034789,2018,11,Late 1st,TRUE,0.9139130434782609,1.2799902569723542,0.023,0.053,0.1535988308366825,0.08800000000000001,0.2415988308366825,3.9498272526043814,-0.34508889186477487,-1.1099795447264003
Kyle Hamilton,S,BAL,00-0038038,2022,14,Late 1st,TRUE,0.8056944444444445,1.1284235916588858,0.02,0.053,0.14895191409897293,0.09,0.23895191409897293,3.8943928481618997,-0.34508889186477487,-1.1099795447264003
Antonio Brown,WR,PIT,00-0027793,2010,195,Rounds 4-7,TRUE,0.8547058823529412,1.3354779411764706,0.003,0.079,0.40598529411764706,0.07,0.47598529411764706,3.8780953282027353,-3.823139033302942,-0.6228278656929864
Jermaine Gresham,TE,CIN,00-0027873,2010,21,Late 1st,TRUE,0.8105882352941177,1.5179554968054638,0.019,0.048,0.1760828376294338,0.023,0.1990828376294338,3.8394582408807354,-0.49999506910647257,-1.219820850957934
Tyreek Hill,WR,KAN,00-0033040,2016,165,Rounds 4-7,TRUE,0.6952941176470588,1.0863970588235294,0.004,0.079,0.32591911764705883,0.14400000000000002,0.46991911764705885,3.818835675567669,-3.823139033302942,-0.6228278656929864
Malik Jackson,DL,DEN,00-0029568,2012,137,Rounds 4-7,TRUE,0.6680392156862746,1.2417085793425178,0.005,0.075,0.34767840221590496,0.092,0.43967840221590493,3.8046600916909212,-3.7779540498924526,-0.695540700768399
Evan Engram,TE,NYG,00-0033881,2017,23,Late 1st,TRUE,0.5641176470588234,1.0564000881251374,0.016,0.048,0.1352192112800176,0.061,0.1962192112800176,3.766685092331351,-0.49999506910647257,-1.219820850957934
Elgton Jenkins,IOL,GNB,00-0035526,2019,44,Round 2,TRUE,0.8134285714285714,1.088927137119908,0,0.051,0.22214113597246124,0.08199999999999999,0.30414113597246123,3.7589356669747267,-0.22501695252083553,-0.7573076508456783
Zane Beadles,IOL,DEN,00-0027658,2010,45,Round 2,TRUE,1.1105882352941177,1.486731238680211,0.008,0.051,0.25571777305299626,0.045,0.30071777305299624,3.7081015702976243,-0.22501695252083553,-0.7573076508456783
Kyren Williams,RB,LA,00-0037840,2022,164,Rounds 4-7,TRUE,0.5837499999999999,1.3800236406619384,0.005,0.06,0.30360520094562643,0.039,0.3426052009456264,3.702012093429144,-5.507493653254559,-0.7649141963140151
Noah Fant,TE,DEN,00-0035644,2019,20,Late 1st,TRUE,0.6567142857142858,1.2298020331728199,0.017,0.048,0.15249545211342966,0.040999999999999995,0.19349545211342967,3.69746637932319,-0.49999506910647257,-1.219820850957934
Justin Britt,IOL,SEA,00-0031282,2014,64,Round 2,TRUE,1.012794117647059,1.355815418536893,0.006,0.051,0.2440467753366407,0.054000000000000006,0.2980467753366407,3.6684394721410087,-0.22501695252083553,-0.7573076508456783
J.J. Watt,EDGE,HOU,00-0027949,2011,11,Late 1st,TRUE,0.879705882352941,1.4445088380179656,0,0.091,0.5258012170385394,0,0.5258012170385394,3.6442011490800246,-0.8808858659652598,0.5944072297042816
Riley Cooper,WR,PHI,00-0027758,2010,159,Rounds 4-7,TRUE,0.891764705882353,1.3933823529411766,0.004,0.079,0.41801470588235295,0.034,0.45201470588235293,3.643929912941744,-3.823139033302942,-0.6228278656929864
Jurrell Casey,DL,TEN,00-0028015,2011,77,Round 3,TRUE,0.7623529411764707,1.4170129018150013,0.006,0.075,0.39109556090094033,0.09,0.4810955609009403,3.569703736720815,-1.6980155086877986,-0.2673590110726486
Aaron Donald,DL,LA,00-0031388,2014,13,Late 1st,TRUE,0.7067647058823527,1.31368904439099,0.019,0.075,0.29426634594358175,0.127,0.42126634594358175,3.5689370527424913,-0.5579535424283915,0.23099991956812158
Telvin Smith,LB,JAX,00-0031309,2014,144,Rounds 4-7,TRUE,0.8191176470588235,1.1836960217613057,0.005,0.061,0.2651479088745325,0.066,0.3311479088745325,3.565159408854762,-3.875277998195149,-0.8050209414767096
L'Jarius Sneed,CB,KAN,00-0036374,2020,138,Rounds 4-7,TRUE,0.8911267605633801,1.2877554343401447,0.005,0.08199999999999999,0.3966286737767645,0.078,0.4746286737767645,3.5542035941088685,-4.672744495348817,-0.6021907924538343
Perry Riley,LB,WAS,00-0027704,2010,103,Rounds 4-7,TRUE,0.9129411764705883,1.319279156749405,0.004,0.061,0.30079564773886436,0.027000000000000003,0.3277956477388644,3.520919402043101,-3.875277998195149,-0.8050209414767096
Micah Parsons,EDGE,DAL,00-0036932,2021,12,Late 1st,TRUE,0.7627777777777777,1.2525086663017695,0.023,0.091,0.3406823572340813,0.16699999999999998,0.5076823572340813,3.492341478196045,-0.8808858659652598,0.5944072297042816
Fletcher Cox,DL,PHI,00-0029653,2012,12,Late 1st,TRUE,0.7509803921568629,1.3958743348640572,0.021,0.075,0.3015088563306363,0.11,0.4115088563306363,3.468367457604692,-0.5579535424283915,0.23099991956812158
Muhammad Wilkerson,DL,NYJ,00-0027968,2011,30,Late 1st,TRUE,0.7758823529411765,1.4421605073256067,0.023,0.075,0.2999693855237262,0.111,0.4109693855237262,3.4628071790093014,-0.5579535424283915,0.23099991956812158
Blake Martinez,LB,GNB,00-0032408,2016,131,Rounds 4-7,TRUE,0.8222058823529412,1.1881587895273718,0.004,0.061,0.27090020401224074,0.052000000000000005,0.32290020401224073,3.456313914866825,-3.875277998195149,-0.8050209414767096
Rodney Hudson,IOL,KAN,00-0027993,2011,55,Round 2,TRUE,0.9405882352941176,1.2591542641152846,0.006999999999999999,0.051,0.2216111504842901,0.062,0.2836111504842901,3.4540824300738886,-0.22501695252083553,-0.7573076508456783
DeForest Buckner,EDGE,SFO,00-0032378,2016,7,Top 10,TRUE,0.7927941176470586,1.3017965807012457,0,0.091,0.47385395537525343,0,0.47385395537525343,3.4484352227014896,-0.35588035012977776,0.265142802793857
Harrison Smith,S,MIN,00-0029606,2012,29,Late 1st,FALSE,0.7033333333333333,0.9850606909430438,0.015,0.053,0.14972922502334265,0.066,0.21572922502334266,3.4080398321715064,-0.34508889186477487,-1.1099795447264003
Mike Daniels,DL,GNB,00-0029284,2012,132,Rounds 4-7,TRUE,0.6321568627450981,1.1750127560317807,0.005,0.075,0.32900357168889854,0.07200000000000001,0.40100357168889855,3.4011687322769486,-3.7779540498924526,-0.695540700768399
Russell Wilson,QB,SEA,00-0029263,2012,75,Round 3,TRUE,1.0758823529411765,1.7297143937961037,0.006,0.146,0.968640060525818,0.153,1.1216400605258179,3.387726438493973,-2.222491526527487,-0.2043169834643365
Devonta Freeman,RB,ATL,00-0031285,2014,103,Rounds 4-7,TRUE,0.5180882352941175,1.2247948824920036,0.005,0.06,0.2694548741482408,0.049,0.3184548741482408,3.385652728615511,-5.507493653254559,-0.7649141963140151
Landon Dickerson,IOL,PHI,00-0037002,2021,37,Round 2,TRUE,0.9415277777777776,1.2604120184441467,0.012,0.051,0.19662427487728687,0.08199999999999999,0.27862427487728686,3.38003146828959,-0.22501695252083553,-0.7573076508456783
Cody Whitehair,IOL,CHI,00-0032768,2016,56,Round 2,TRUE,0.9501470588235295,1.271950547287188,0.006999999999999999,0.051,0.22386329632254506,0.054000000000000006,0.2778632963225451,3.3687315686496793,-0.22501695252083553,-0.7573076508456783
Penei Sewell,OT,DET,00-0036880,2021,7,Top 10,TRUE,0.985,1.3493150684931507,0.033,0.08149999999999999,0.26176712328767116,0.11,0.37176712328767114,3.3529515725419565,-0.3572700310319593,0.18380523620703798
Orlando Franklin,IOL,DEN,00-0027984,2011,46,Round 2,TRUE,1.0011764705882353,1.3402630128356565,0.009000000000000001,0.051,0.22516418615639028,0.051,0.27616418615639027,3.3435011935818615,-0.22501695252083553,-0.7573076508456783
Daron Payne,DL,WAS,00-0034333,2018,13,Late 1st,TRUE,0.7304347826086955,1.3576854695328913,0.02,0.075,0.298690803297236,0.1,0.39869080329723605,3.336252902000799,-0.5579535424283915,0.23099991956812158
Kam Chancellor,S,SEA,00-0027733,2010,133,Rounds 4-7,TRUE,1.0776470588235292,1.509309606195419,0.004,0.053,0.29582468281430213,0.057,0.3528246828143021,3.3327309824135205,-2.184659545441944,-0.5511731411824057
Cameron Jordan,EDGE,NOR,00-0027962,2011,24,Late 1st,TRUE,0.9317647058823528,1.5299913068675746,0.024,0.091,0.41003767024051,0.077,0.48703767024051003,3.3193120819657644,-0.8808858659652598,0.5944072297042816
David Bakhtiari,OT,GNB,00-0030074,2013,109,Rounds 4-7,TRUE,0.9873529411764704,1.3525382755842061,0.005,0.08149999999999999,0.413876712328767,0.077,0.490876712328767,3.3186348172630624,-3.1707480263226144,-0.4449332397639939
Kendrick Lewis,CB,KAN,00-0027736,2010,136,Rounds 4-7,TRUE,0.9458823529411764,1.3668820129207753,0,0.08199999999999999,0.4483373002380142,0,0.4483373002380142,3.316205453456985,-4.672744495348817,-0.6021907924538343
Grady Jarrett,DL,ATL,00-0031583,2015,137,Rounds 4-7,TRUE,0.5736764705882352,1.0663131423573144,0.004,0.075,0.3028329324294773,0.09,0.39283293242947726,3.3159251178346576,-3.7779540498924526,-0.695540700768399
Bruce Irvin,EDGE,SEA,00-0029193,2012,15,Late 1st,TRUE,0.7062745098039216,1.15972825911974,0,0.091,0.42214108631958536,0.06,0.48214108631958535,3.2782723239063496,-0.8808858659652598,0.5944072297042816
Carlos Dunlap,EDGE,CIN,00-0027662,2010,54,Round 2,TRUE,0.8705882352941177,1.429537332174249,0.006999999999999999,0.091,0.4803245436105476,0.064,0.5443245436105476,3.2668568381628145,-1.9473356770209531,-0.00936591860581865
Jeffery Simmons,DL,TEN,00-0035643,2019,19,Late 1st,TRUE,0.6631428571428569,1.2326075411577266,0.017,0.075,0.2859649495485926,0.105,0.39096494954859257,3.2566232006722853,-0.5579535424283915,0.23099991956812158
Cameron Heyward,EDGE,PIT,00-0027969,2011,31,Late 1st,TRUE,0.8014705882352942,1.3160436588428477,0,0.091,0.4790398918187965,0,0.4790398918187965,3.252280270249578,-0.8808858659652598,0.5944072297042816
Tremaine Edmunds,LB,BUF,00-0034673,2018,16,Late 1st,TRUE,0.9157971014492754,1.3234062159671611,0.018000000000000002,0.061,0.2276258691463517,0.08,0.3076258691463517,3.249102974314026,-0.9970994700204313,-0.8036273004092015
Kevin Byard,S,TEN,00-0033132,2016,64,Round 2,TRUE,0.9166176470588236,1.283778217169221,0.006,0.053,0.24135030482781353,0.075,0.3163503048278135,3.2470716298402724,-0.6092327658489395,-0.6534824271194798
Jessie Bates III,S,CIN,00-0034675,2018,54,Round 2,TRUE,0.9520289855072464,1.3333739292818576,0.006999999999999999,0.053,0.2453408029878618,0.071,0.31634080298786177,3.2469544735113334,-0.6092327658489395,-0.6534824271194798
Leonard Williams,EDGE,NYJ,00-0031933,2015,6,Top 10,TRUE,0.7539705882352943,1.2380469429150973,0,0.091,0.4506490872210954,0,0.4506490872210954,3.2394247539379877,-0.35588035012977776,0.265142802793857
Lamarr Houston,EDGE,LV,00-0027657,2010,44,Round 2,TRUE,0.8935294117647059,1.4672075726842462,0.008,0.091,0.4871129141311697,0.053,0.5401129141311697,3.236505976383016,-1.9473356770209531,-0.00936591860581865
Stefon Diggs,WR,MIN,00-0031588,2015,146,Rounds 4-7,TRUE,0.7008823529411764,1.095128676470588,0.004,0.079,0.3285386029411764,0.081,0.40953860294117644,3.228986642202808,-3.823139033302942,-0.6228278656929864
Joe Thuney,IOL,NWE,00-0032391,2016,78,Round 3,TRUE,1.0841176470588234,1.4512953775887865,0.005,0.051,0.2670383494763367,0.08800000000000001,0.3550383494763367,3.2223511361992143,-1.1210940108268708,-0.4767011195371987
Buster Skrine,CB,CLE,00-0028075,2011,137,Rounds 4-7,TRUE,0.8849999999999999,1.2789017341040463,0.005,0.08199999999999999,0.39390173410404616,0.044000000000000004,0.43790173410404615,3.2217392844349066,-4.672744495348817,-0.6021907924538343
De'Vondre Campbell,LB,ATL,00-0032401,2016,115,Rounds 4-7,TRUE,0.7941176470588234,1.1475688541312477,0.005,0.061,0.2570554233253995,0.048,0.3050554233253995,3.2208151911132785,-3.875277998195149,-0.8050209414767096
Charles Cross,OT,SEA,00-0037821,2022,9,Top 10,TRUE,0.8983333333333332,1.230593607305936,0.026000000000000002,0.08149999999999999,0.27319178082191775,0.087,0.3601917808219177,3.2192417597196643,-0.3572700310319593,0.18380523620703798
Khalil Mack,EDGE,LV,00-0031040,2014,5,Top 10,TRUE,0.854264705882353,1.402733507195982,0.035,0.091,0.31421230561189994,0.133,0.44721230561189995,3.2084690367839985,-0.35588035012977776,0.265142802793857
Alterraun Verner,CB,TEN,00-0027705,2010,104,Rounds 4-7,TRUE,0.8823529411764707,1.2750765045902757,0.006,0.08199999999999999,0.38762325739544373,0.048,0.4356232573954437,3.2011137655982154,-4.672744495348817,-0.6021907924538343
David Njoku,TE,CLE,00-0033885,2017,29,Late 1st,FALSE,0.42308823529411765,0.7923000660938533,0.013999999999999999,0.048,0.10775280898876405,0.066,0.17375280898876405,3.1957478848130147,-0.49999506910647257,-1.219820850957934
Justin Houston,EDGE,KAN,00-0028008,2011,70,Round 3,TRUE,0.7870588235294117,1.2923790205737467,0.006999999999999999,0.091,0.4342393509127788,0.11699999999999999,0.5512393509127789,3.1897000763784087,-2.5109073453087567,-0.29680159176202814
Shaq Mason,IOL,NWE,00-0031580,2015,131,Rounds 4-7,TRUE,0.9670588235294116,1.2945901252067091,0.005,0.051,0.2382045830380345,0.051,0.2892045830380345,3.1878321118624164,-2.4541091296547317,-0.6606857915206148
Aaron Jones,RB,GNB,00-0033293,2017,182,Rounds 4-7,TRUE,0.4480882352941175,1.0593102489222637,0.004,0.06,0.23728549575858704,0.066,0.30328549575858704,3.1869401003256104,-5.507493653254559,-0.7649141963140151
George Karlaftis III,EDGE,KAN,00-0037192,2022,30,Late 1st,TRUE,0.7722222222222221,1.2680167852581645,0.013999999999999999,0.091,0.39054916985951466,0.079,0.46954916985951467,3.172735644994888,-0.8808858659652598,0.5944072297042816
Darnell Savage Jr.,S,GNB,00-0034968,2019,21,Late 1st,TRUE,0.8738571428571429,1.223889555822329,0.017,0.053,0.17624009603841537,0.027999999999999997,0.20424009603841536,3.1674228857565536,-0.34508889186477487,-1.1099795447264003
Harold Landry,EDGE,TEN,00-0034828,2018,41,Round 2,TRUE,0.8372463768115943,1.3747887960781515,0.01,0.091,0.4454315699293211,0.084,0.52943156992932106,3.159531493447105,-1.9473356770209531,-0.00936591860581865
Terrell Edmunds,S,PIT,00-0034858,2018,28,Late 1st,TRUE,0.8982608695652176,1.2580684447692123,0.015,0.053,0.19122640360492027,0.012,0.20322640360492028,3.146193114703281,-0.34508889186477487,-1.1099795447264003
Alex Highsmith,EDGE,PIT,00-0036333,2020,102,Rounds 4-7,TRUE,0.7022535211267604,1.1531256504544507,0.005,0.091,0.396675223756331,0.076,0.47267522375633103,3.1429917578537,-3.8204197934098256,-0.6044285050354133
Trey McBride,TE,ARI,00-0037744,2022,55,Round 2,TRUE,0.69875,1.3085205992509361,0.008,0.048,0.2093632958801498,0.068,0.2773632958801498,3.132999558853558,-0.36078026178736594,-0.6556584315197126
Ryan Ramczyk,OT,NOR,00-0033888,2017,32,Late 1st,TRUE,1.019705882352941,1.3968573730862206,0.013000000000000001,0.08149999999999999,0.3827389202256244,0.105,0.4877389202256244,3.127273955100395,-0.6590268496124263,0.5624288068243084
Julius Thomas,TE,DEN,00-0028067,2011,129,Rounds 4-7,TRUE,0.7423529411764707,1.3901740471469488,0.005,0.048,0.23910993610927522,0.064,0.3031099361092752,3.1190761623161962,-2.3689887502760683,-0.586867207426399
Jake Matthews,OT,ATL,00-0031279,2014,6,Top 10,TRUE,0.9700000000000001,1.3287671232876714,0.031,0.08149999999999999,0.2684109589041096,0.08199999999999999,0.35041095890410956,3.1062609237964507,-0.3572700310319593,0.18380523620703798
D.K. Metcalf,WR,SEA,00-0035640,2019,64,Round 2,TRUE,0.8571428571428573,1.3392857142857146,0.006,0.079,0.3910714285714286,0.11800000000000001,0.5090714285714286,3.104166631469676,-1.0961314210494868,0.22664173323619316
Ryan Kerrigan,EDGE,WAS,00-0027954,2011,16,Late 1st,TRUE,0.8929411764705883,1.466241669081426,0.026000000000000002,0.091,0.38122283396117074,0.08,0.46122283396117075,3.102950093208629,-0.8808858659652598,0.5944072297042816
Antoine Winfield Jr.,S,TAM,00-0036411,2020,45,Round 2,TRUE,0.9029577464788733,1.2646467037519233,0.009000000000000001,0.053,0.2225778198603385,0.08199999999999999,0.3045778198603385,3.1019185722973828,-0.6092327658489395,-0.6534824271194798
Dexter Lawrence,DL,NYG,00-0035683,2019,17,Late 1st,TRUE,0.6494285714285715,1.2071163037705788,0.018000000000000002,0.075,0.27522251725969193,0.1,0.3752225172596919,3.0943673229229023,-0.5579535424283915,0.23099991956812158
Christian Wilkins,DL,MIA,00-0035231,2019,13,Late 1st,TRUE,0.6652857142857143,1.236590546999469,0.021,0.075,0.26710355815188525,0.10800000000000001,0.37510355815188523,3.0931412217652645,-0.5579535424283915,0.23099991956812158
Tyler Linderbaum,IOL,BAL,00-0037825,2022,25,Late 1st,TRUE,0.9661111111111109,1.2933214338836827,0.016,0.051,0.18106500074371557,0.09,0.27106500074371553,3.067797168371355,-0.09175270156213973,-0.7109611026659682
Ha Ha Clinton-Dix,CB,GNB,00-0031333,2014,21,Late 1st,TRUE,1.0097058823529412,1.4591125467528054,0,0.08199999999999999,0.47858891533492015,0,0.47858891533492015,3.060090469229393,-1.1362659091557372,0.08046471267687343
Derwin James,S,LAC,00-0034790,2018,17,Late 1st,FALSE,0.5349275362318842,0.7491982300166445,0.017,0.053,0.1078845451223968,0.091,0.19888454512239678,3.0552615278787925,-0.34508889186477487,-1.1099795447264003
Dan Moore,OT,PIT,00-0036869,2021,128,Rounds 4-7,TRUE,0.931111111111111,1.2754946727549465,0.006,0.08149999999999999,0.38519939117199375,0.073,0.45819939117199376,3.053734317405943,-3.1707480263226144,-0.4449332397639939
Chandler Jones,EDGE,NWE,00-0029585,2012,21,Late 1st,TRUE,0.8337254901960787,1.3690073730641685,0.026000000000000002,0.091,0.3559419169966838,0.099,0.45494191699668385,3.0503078191709503,-0.8808858659652598,0.5944072297042816
Olivier Vernon,EDGE,MIA,00-0029693,2012,72,Round 3,TRUE,0.7550980392156865,1.2398982581538367,0.006,0.091,0.42156540777230445,0.109,0.5305654077723044,3.0464188078744656,-2.5109073453087567,-0.29680159176202814
Cade Otton,TE,TAM,00-0038129,2022,106,Rounds 4-7,TRUE,0.8183333333333331,1.5324594257178523,0.005,0.048,0.2635830212234706,0.033,0.2965830212234706,3.039275489146572,-2.3689887502760683,-0.586867207426399
Kenny Clark,DL,GNB,00-0033120,2016,27,Late 1st,TRUE,0.6314705882352941,1.1737371528537064,0.015,0.075,0.2816969166848895,0.08800000000000001,0.3696969166848895,3.0374154393191732,-0.5579535424283915,0.23099991956812158
Le'Veon Bell,RB,PIT,00-0030496,2013,48,Round 2,TRUE,0.6170588235294117,1.4587679043248503,0.008,0.06,0.30342372409956886,0.08199999999999999,0.3854237240995688,3.033853643781114,-1.5069658434565287,-0.4735968759125675
Tyson Alualu,DL,JAX,00-0027862,2010,10,Top 10,TRUE,0.6270588235294118,1.1655368467089438,0,0.075,0.3496610540126831,0.021,0.3706610540126831,3.033484258449032,0.47553610303479044,-0.2840537572894559
Josh Allen,QB,BUF,00-0034857,2018,7,Top 10,TRUE,0.921159420289855,1.480963698215201,0.03,0.146,0.6871671559718532,0.23600000000000002,0.9231671559718532,3.0272911614690634,-0.293477891960363,0.37407124048736107
Gabriel Davis,WR,BUF,00-0036196,2020,128,Rounds 4-7,TRUE,0.7301408450704223,1.1408450704225348,0.005,0.079,0.33769014084507026,0.051,0.38869014084507025,3.0253208524288406,-3.823139033302942,-0.6228278656929864
Marcus Williams,S,NOR,00-0033894,2017,42,Round 2,TRUE,0.9382352941176471,1.3140550337782173,0.009000000000000001,0.053,0.23127368594496622,0.067,0.2982736859449662,3.024189501884105,-0.6092327658489395,-0.6534824271194798
Cole Kmet,TE,CHI,00-0036290,2020,43,Round 2,TRUE,0.7476056338028169,1.4000105501925408,0.01,0.048,0.2128016036292662,0.055999999999999994,0.2688016036292662,3.016050689845874,-0.36078026178736594,-0.6556584315197126
NaVorro Bowman,LB,SFO,00-0027894,2010,91,Round 3,TRUE,1.0835294117647059,1.5657939476368583,0.005,0.061,0.35073784427065624,0.075,0.42573784427065625,3.0076182937147524,-1.5009104241941897,-0.26024197516630576
Patrick Queen,LB,BAL,00-0036323,2020,28,Late 1st,TRUE,0.8839436619718306,1.277375234063339,0.015,0.061,0.23503704306765438,0.054000000000000006,0.2890370430676544,3.0042097264550147,-0.9970994700204313,-0.8036273004092015
Corey Wootton,EDGE,CHI,00-0027603,2010,109,Rounds 4-7,TRUE,0.7623529411764705,1.2518110692552882,0,0.091,0.4556592292089249,0,0.4556592292089249,3.002869666385892,-3.8204197934098256,-0.6044285050354133
DeMarco Murray,RB,DAL,00-0028009,2011,71,Round 3,TRUE,0.7082352941176472,1.6743151161173693,0.006,0.06,0.3616520650813518,0.055999999999999994,0.4176520650813518,2.999536649543283,-2.0095141915817347,0.0018317536535283545
George Kittle,TE,SFO,00-0033288,2017,146,Rounds 4-7,TRUE,0.6566176470588234,1.2296210619079089,0.004,0.048,0.21641330689579194,0.076,0.2924133068957919,2.9882948932455173,-2.3689887502760683,-0.586867207426399
Ali Marpet,IOL,TAM,00-0032243,2015,61,Round 2,TRUE,0.8077941176470588,1.081384360973305,0.006999999999999999,0.051,0.19032364753130165,0.061,0.25132364753130165,2.974639821975838,-0.22501695252083553,-0.7573076508456783
Orlando Brown Jr.,OT,BAL,00-0034752,2018,83,Round 3,TRUE,0.9492753623188406,1.300377208655946,0.005,0.08149999999999999,0.39791542584871936,0.08,0.4779154258487194,2.9728867208024723,-1.9161133628566525,-0.13046393182271215
Luke Goedeke,IOL,TAM,00-0037835,2022,57,Round 2,FALSE,0.721111111111111,0.9653428528930535,0.006999999999999999,0.051,0.16990034210917743,0.081,0.25090034210917744,2.968354087959777,-0.22501695252083553,-0.7573076508456783
