season,pos_group,n_drafted,n_hits,hit_rate,mean_player_return,mean_car_av,max_car_av,median_hit_rate,is_deep,class_quality,early_picks
2010,CB,42,5,0.11904761904761904,0.08029379381810527,17.3265306122449,82,0.10714285714285714,TRUE,Deep,20
2010,DL,20,4,0.2,0.14312001968073473,32.111111111111114,100,0.09090909090909091,TRUE,Deep,11
2010,EDGE,34,10,0.29411764705882354,0.20779262049647446,20.272727272727273,74,0.10256410256410256,TRUE,Deep,11
2010,IOL,20,2,0.1,0.08448064414520828,23,78,0.1875,FALSE,Thin,7
2010,LB,29,4,0.13793103448275862,0.09191393966396603,15.344827586206897,71,0.1111111111111111,TRUE,Deep,12
2010,OT,18,4,0.2222222222222222,0.10412525740889962,29.58823529411765,109,0.2222222222222222,FALSE,Thin,9
2010,QB,13,0,0,0.023363576843054807,9,44,0.2,FALSE,Thin,4
2010,RB,15,0,0,0.06691835164325778,13.615384615384615,44,0.13043478260869565,FALSE,Thin,6
2010,S,11,8,0.7272727272727273,0.2078691262601297,NA,NA,0.23076923076923078,TRUE,Deep,0
2010,TE,19,6,0.3157894736842105,0.1069437970338934,13.947368421052632,78,0.15789473684210525,TRUE,Deep,5
2010,WR,31,8,0.25806451612903225,0.1567813092979127,19.633333333333333,92,0.11428571428571428,TRUE,Deep,13
2011,CB,49,5,0.10204081632653061,0.1030979328147444,12.73469387755102,103,0.10714285714285714,FALSE,Thin,16
2011,DL,26,4,0.15384615384615385,0.1256475802788945,20.227272727272727,72,0.09090909090909091,TRUE,Deep,13
2011,EDGE,20,8,0.4,0.27455768859267843,40.1764705882353,115,0.10256410256410256,TRUE,Deep,10
2011,IOL,24,7,0.2916666666666667,0.08282867089272121,23.555555555555557,102,0.1875,TRUE,Deep,6
2011,LB,31,1,0.03225806451612903,0.06733925261322131,17.9,105,0.1111111111111111,FALSE,Thin,12
2011,OT,16,6,0.375,0.18395391821112003,28.5,91,0.2222222222222222,TRUE,Deep,11
2011,QB,12,3,0.25,0.2947093815017968,36.7,115,0.2,TRUE,Deep,7
2011,RB,29,2,0.06896551724137931,0.07771191000244558,12.222222222222221,66,0.13043478260869565,FALSE,Thin,8
2011,S,4,3,0.75,0.23022713791398913,NA,NA,0.23076923076923078,TRUE,Deep,0
2011,TE,13,4,0.3076923076923077,0.13267485213618724,12.166666666666666,36,0.15789473684210525,TRUE,Deep,3
2011,WR,28,3,0.10714285714285714,0.1291076680672269,16.923076923076923,101,0.11428571428571428,FALSE,Thin,11
2012,CB,47,1,0.02127659574468085,0.10350013142632529,15.11111111111111,75,0.10714285714285714,FALSE,Thin,15
2012,DL,23,7,0.30434782608695654,0.16617205906121943,21.608695652173914,95,0.09090909090909091,TRUE,Deep,10
2012,EDGE,23,4,0.17391304347826086,0.21152648185711068,24.105263157894736,77,0.10256410256410256,TRUE,Deep,11
2012,IOL,28,3,0.10714285714285714,0.06715174985656912,21.57894736842105,69,0.1875,FALSE,Thin,7
2012,LB,30,5,0.16666666666666666,0.12248180135252561,31.333333333333332,129,0.1111111111111111,TRUE,Deep,11
2012,OT,16,4,0.25,0.1856589611872146,27.705882352941178,75,0.2222222222222222,TRUE,Deep,10
2012,QB,11,3,0.2727272727272727,0.42920734104808245,55.111111111111114,140,0.2,TRUE,Deep,7
2012,RB,21,2,0.09523809523809523,0.08342044840000619,10.619047619047619,42,0.13043478260869565,FALSE,Thin,7
2012,S,3,1,0.3333333333333333,0.1907986854872668,NA,NA,0.23076923076923078,TRUE,Deep,0
2012,TE,12,1,0.08333333333333333,0.06551119311644757,4.909090909090909,25,0.15789473684210525,FALSE,Thin,3
2012,WR,33,5,0.15151515151515152,0.12375219102792633,13.806451612903226,72,0.11428571428571428,TRUE,Deep,13
2013,CB,43,6,0.13953488372093023,0.12907348789764592,17.4375,67,0.10714285714285714,TRUE,Deep,25
2013,DL,18,3,0.16666666666666666,0.17660913088903465,27.5625,61,0.09090909090909091,TRUE,Deep,10
2013,EDGE,33,0,0,0.09498080778811002,9.466666666666667,39,0.10256410256410256,FALSE,Thin,9
2013,IOL,29,4,0.13793103448275862,0.0737027650833218,16.157894736842106,60,0.1875,FALSE,Thin,8
2013,LB,25,2,0.08,0.09016448146888814,17.04,58,0.1111111111111111,FALSE,Thin,11
2013,OT,12,4,0.3333333333333333,0.21972381144238515,36.411764705882355,89,0.2222222222222222,TRUE,Deep,8
2013,QB,11,0,0,0.10367579139226574,10.625,57,0.2,FALSE,Thin,3
2013,RB,26,3,0.11538461538461539,0.09826353989495415,16.347826086956523,61,0.13043478260869565,FALSE,Thin,6
2013,S,9,4,0.4444444444444444,0.18992045184086706,NA,NA,0.23076923076923078,TRUE,Deep,0
2013,TE,16,2,0.125,0.12123003414849086,16.5,94,0.15789473684210525,FALSE,Thin,6
2013,WR,28,3,0.10714285714285714,0.13608905593487394,18.4,84,0.11428571428571428,FALSE,Thin,11
2014,CB,48,3,0.0625,0.11019920945256714,11.78,48,0.10714285714285714,FALSE,Thin,15
