season,pos_group,ngs_tier,n
1981,RB,Below Avg,1
1984,CB,Average,1
1984,RB,Below Avg,1
1985,EDGE,Below Avg,1
1985,RB,Below Avg,1
1987,LB,Below Avg,1
1988,WR,Below Avg,1
1989,CB,Below Avg,1
1989,WR,Below Avg,1
1990,RB,Good,1
1992,CB,Average,1
1992,OT,Below Avg,1
1992,TE,Average,1
1998,EDGE,Average,1
1998,IOL,Below Avg,1
1999,CB,Below Avg,1
2003,CB,Elite,1
2003,CB,Good,17
2003,CB,Average,9
2003,CB,Below Avg,2
2003,DL,Good,6
2003,DL,Average,9
2003,EDGE,Good,9
2003,EDGE,Average,7
2003,EDGE,Below Avg,1
2003,IOL,Good,9
2003,IOL,Average,8
2003,IOL,Below Avg,1
2003,LB,Good,7
2003,LB,Average,9
2003,LB,Below Avg,1
2003,OT,Elite,1
2003,OT,Good,7
2003,OT,Average,5
2003,QB,Good,5
2003,QB,Average,5
2003,QB,Below Avg,1
2003,RB,Elite,1
2003,RB,Good,8
2003,RB,Average,1
2003,RB,Below Avg,1
2003,TE,Good,9
2003,TE,Average,2
2003,WR,Elite,2
2003,WR,Good,12
2003,WR,Average,8
2003,WR,Below Avg,3
2004,CB,Good,12
2004,CB,Average,14
2004,DL,Good,9
2004,DL,Average,6
2004,DL,Below Avg,1
2004,EDGE,Good,7
2004,EDGE,Average,8
2004,IOL,Good,6
2004,IOL,Average,9
2004,LB,Good,17
2004,LB,Average,7
2004,OT,Good,2
2004,OT,Average,9
2004,QB,Good,6
2004,QB,Average,5
2004,QB,Below Avg,2
2004,RB,Good,7
2004,RB,Average,3
2004,TE,Good,8
2004,TE,Average,1
2004,TE,Below Avg,2
2004,WR,Good,19
2004,WR,Average,7
2004,WR,Below Avg,1
2005,CB,Elite,1
2005,CB,Good,21
2005,CB,Average,9
2005,DL,Good,2
2005,DL,Average,9
2005,EDGE,Elite,1
2005,EDGE,Good,6
2005,EDGE,Average,6
2005,EDGE,Below Avg,1
2005,IOL,Good,16
2005,IOL,Average,4
2005,LB,Good,10
2005,LB,Average,5
2005,LB,Below Avg,2
2005,OT,Good,8
2005,OT,Average,9
2005,QB,Elite,1
2005,QB,Good,5
2005,QB,Average,6
2005,RB,Good,11
2005,RB,Average,4
2005,RB,Below Avg,2
2005,TE,Good,3
2005,TE,Average,4
2005,WR,Elite,1
2005,WR,Good,14
2005,WR,Average,8
2006,CB,Good,13
2006,CB,Average,7
2006,DL,Elite,1
2006,DL,Good,5
2006,DL,Average,10
2006,EDGE,Elite,1
2006,EDGE,Good,7
2006,EDGE,Average,11
2006,IOL,Elite,1
2006,IOL,Good,9
2006,IOL,Average,6
2006,IOL,Below Avg,1
2006,LB,Elite,1
2006,LB,Good,10
2006,LB,Average,8
2006,LB,Below Avg,1
2006,OT,Elite,1
2006,OT,Good,4
2006,OT,Average,5
2006,QB,Good,8
2006,QB,Average,2
2006,RB,Elite,1
2006,RB,Good,9
2006,RB,Average,2
2006,TE,Elite,1
2006,TE,Good,8
2006,TE,Average,4
