team,rb1,rb2,rb3
ARI,Tyler Allgeier,James Conner,Trey Benson
ATL,Bijan Robinson,Brian Robinson,Tyler Goodson
BAL,Derrick Henry,Justice Hill,Rasheen Ali
BUF,James Cook III,Ty Johnson,Ray Davis
CAR,Chuba Hubbard,Jonathon Brooks,Trevor Etienne
CHI,D'Andre Swift,Kyle Monangai,Roschon Johnson
CIN,Chase Brown,Samaje Perine,Tahj Brooks
CLE,Quinshon Judkins,Dylan Sampson,Raheim Sanders
DAL,Javonte Williams,Malik Davis,Jaydon Blue
DEN,J.K. Dobbins,RJ Harvey,Jaleel McLaughlin
DET,Jahmyr Gibbs,Isiah Pacheco,Jacob Saylors
GB,Josh Jacobs,Chris Brooks,MarShawn Lloyd
HOU,David Montgomery,Woody Marks,Jawhar Jordan
IND,Jonathan Taylor,DJ Giddens,Ulysses Bentley IV
JAX,Bhayshul Tuten,LeQuint Allen Jr.,Chris Rodriguez Jr.
KC,Kenneth Walker,Brashard Smith,Emari Demercado
LAC,Omarion Hampton,Keaton Mitchell,Kimani Vidal
LA,Kyren Williams,Blake Corum,Ronnie Rivers
LV,Ashton Jeanty,Dylan Laube,Chris Collier
MIA,De'Von Achane,Jaylen Wright,Ollie Gordon II
MIN,Aaron Jones Sr.,Jordan Mason,Zavier Scott
NE,Rhamondre Stevenson,TreVeyon Henderson,Lan Larison
NO,Travis Etienne Jr.,Alvin Kamara,Kendre Miller
NYG,Cam Skattebo,Tyrone Tracy Jr.,Devin Singletary
NYJ,Breece Hall,Braelon Allen,Isaiah Davis
PHI,Saquon Barkley,Tank Bigsby,Will Shipley
PIT,Jaylen Warren,Rico Dowdle,Kaleb Johnson
SEA,Zach Charbonnet,Emanuel Wilson,George Holani
SF,Christian McCaffrey,Jordan James,Isaac Guerendo
TB,Bucky Irving,Kenneth Gainwell,Sean Tucker
TEN,Tony Pollard,Tyjae Spears,Michael Carter
WAS,Rachaad White,Jerome Ford,Jacory Croskey-Merritt
